D107220160111,7,2,Fukushima Prefectural Fukushima Shinsei High School,"17 Watari Shichishagu, Fukushima City, Fukushima Prefecture"
D107220460172,7,2,Fukushima Prefectural Iwaki Yumoto High School,"55 Gotanda, Tokiwakamiyu Hasecho, Iwaki City, Fukushima Prefecture"
D107220760053,7,2,Fukushima Prefectural Sukagawa Soeikan High School,"88 Midoricho, Sukagawa City, Fukushima Prefecture"
D107220960033,7,2,Fukushima Prefectural Soma Sogo High School,"200 Amidado, Kitaibuchi, Soma City, Fukushima Prefecture"
D107244760026,7,2,Fukushima Prefectural Aizu Seiryo High School,"3473 Hosoji Kitakou, Aizumisato-cho, Onuma-gun, Fukushima Prefecture"
D108321600016,8,3,Japan Wellness High School,"1188 Yoshiwara, Kasama City, Ibaraki Prefecture"
D109210000622,9,2,Tochigi Prefectural Utsunomiya Chuo High School,"2-2-46 Wakakusa-cho, Utsunomiya City, Tochigi Prefecture"
D111320900047,11,3,Wasegaku Yumeiku High School,"130-2 Hirado, Hanno City, Saitama Prefecture"
D112310000607,12,3,Chiba University of Science High School,"3 Shiomicho, Choshi City, Chiba Prefecture"
D112310000616,12,3,Human Campus Nozomi High School,"1-53 Midorigaoka, Mobara City, Chiba Prefecture"
D113299905180,13,2,Tokyo Metropolitan Kodaibashi High School,"2-1-31 Kodai, Adachi-ku, Tokyo"
D119310000129,19,3,Teikyo Daisan High School,"2148 Kobuchizawacho, Hokuto City, Yamanashi Prefecture"
D120320100062,20,3,step high school,"2200 Ageo, Nobusara-cho, Nagano City, Nagano Prefecture"
D121340100014,21,3,Seino Gakuen High School,"481-3 Nishitsugumi, Ibigawa-machi, Ibi-gun, Gifu Prefecture"
D127210001601,27,2,Osaka Prefectural Sakurawa High School,"1-38 Matsugaeda-cho, Kita-ku, Osaka-shi, Osaka Prefecture"
D127310001084,27,3,Meijo Gakuin High School,"3-15-7 Bunnosato, Abeno-ku, Osaka-shi, Osaka Prefecture"
D129210000450,29,2,Nara Prefectural Uda High School,"210 Haibara Shimoizashi, Uda City, Nara Prefecture (Haibara Gakusha)"
D129210000469,29,2,Nara Prefectural University High School,"24-1 Rokujo Nishi 3-chome, Nara City, Nara Prefecture"
D135210000602,35,2,Yamaguchi Prefectural Yamaguchi Shofukan High School,"3-6-18 Ogori Reiwa, Yamaguchi City, Yamaguchi Prefecture"
D143310000254,43,3,Yamato High School,"223 Takigami, Yamato-cho, Kamimashiki-gun, Kumamoto Prefecture"
D101223300032,1,2,Hokkaido Date Kairai High School,"44 Takeharacho, Date City, Hokkaido"
D101256400031,1,2,Hokkaido Ozora High School,"79 Higashimokoto, Ozora-cho, Abashiri-gun, Hokkaido"
D102210000610,2,2,Aomori Prefectural Sanbongi Agricultural Keitaku High School,"78-92 Aisaka Takashimizu, Towada City, Aomori Prefecture"
D102210000629,2,2,Aomori Prefectural Goshogawara Technical High School,"192 Minato-Funakoshi, Goshogawara City, Aomori Prefecture"
D105220259080,5,2,Akita Prefectural Noshiro Science and Technology High School,"3-1 Banwakacho, Noshiro City, Akita Prefecture"
D107220460163,7,2,Fukushima Prefectural Onahama Kaisei High School,"23 Takeshiro, Onahama Shimokamipaku, Iwaki City, Fukushima Prefecture"
D107220860052,7,2,Fukushima Prefectural Kitakata High School,"1-129 Sakuragaoka, Kitakata City, Fukushima Prefecture"
D108322000038,8,3,S high school,"578-2 Sakuya, Tsukuba City, Ibaraki Prefecture"
D110210000674,10,2,Gunma Prefectural Kiryu Kiyosakura High School,"3-551-1 Aioimachi, Kiryu City, Gunma Prefecture"
D113299904163,13,2,Tokyo Metropolitan Akabane Kitazakura High School,"3-14-20 Nishigaoka, Kita-ku, Tokyo"
D126210000701,26,2,Kyoto Municipal Kyoto Sowa High School,"13, Fukakusa Suzuzuka-cho, Fushimi-ku, Kyoto City, Kyoto Prefecture"
D129210000398,29,2,Nara Prefectural Nara Chamber of Commerce High School,"248 Kashiwagicho, Nara City, Nara Prefecture"
D129210000405,29,2,Nara Prefectural Takamado Art High School,"633 Shirakojicho, Nara City, Nara Prefecture"
D129210000414,29,2,Nara Prefectural Commercial High School,"770 Kasai, Sakurai City, Nara Prefecture"
D129210000423,29,2,Nara Prefectural Nara Minami High School,"983 Shimobuchi, Oyodo-cho, Yoshino-gun, Nara Prefecture (Oyodo Gakusha)"
D129210000441,29,2,Gojo City Nishiyoshino Agricultural High School,"174-1 Ede, Nishiyoshino-cho, Gojo City, Nara Prefecture"
D133310000265,33,3,wow high school,"7-2 Maya-cho, Kita-ku, Okayama City, Okayama Prefecture"
D137320100054,37,3,Anabuki Gakuen High School,"2-4-14 Bancho, Takamatsu City, Kagawa Prefecture"
